State,AverageScore
Alabama,83
Alaska,82
Arizona,88
Arkansas,85
California,83
Colorado,82
Connecticut,81
Delaware,86
District of Columbia,66
Florida,86
Georgia,86
Hawaii,82
Idaho,92
Illinois,81
Indiana,74
Iowa,91
Kansas,87
Kentucky,86
Louisiana,74
Maine,88
Maryland,72
Massachusetts,83
Michigan,82
Minnesota,91
Mississippi,80
Missouri,89
Montana,85
Nebraska,91
Nevada,90
New Hampshire,83
New Jersey,80
New Mexico,84
New York,79
North Carolina,86
North Dakota,84
Ohio,80
Oklahoma,86
Oregon,93
Pennsylvania,83
Rhode Island,84
South Carolina,86
South Dakota,90
Tennessee,89
Texas,88
Utah,90
Vermont,93
Virginia,80
Washington,83
West Virginia,82
Wisconsin,86
Wyoming,85
